Wavelength (nm),Intensity (a.u.)
410,32.64771462
411.0599976,44.39797878
411.9599915,38.13067436
413.0299988,53.44720841
413.9299927,48.42963695
415,59.67362881
416.0599976,56.67691708
416.9599915,53.58932495
418.0299988,57.1944952
418.9299927,53.482337
420,74.60596562
421.0700073,72.85600186
422,74.13873196
423.0700073,69.59278583
424,64.53827381
425.0700073,76.65074826
426,67.58820057
427.0700073,73.23570728
428,88.3174324
429.0700073,86.86252592
430,81.5412712
431.0599976,86.68478016
431.9599915,86.44805912
433.0299988,94.48091504
433.9299927,96.49124144
435,108.7392044
436.0599976,101.0957337
436.9599915,109.6271134
438.0299988,123.2453155
438.9299927,133.0707931
440,131.3957596
441.0599976,140.1270294
441.9599915,141.9461441
443.0299988,159.2382431
443.9299927,173.2676887
445,187.6984406
446.0599976,203.0571938
446.9599915,223.1657219
448.0299988,251.1523628
448.9299927,287.7880859
450,334.8020554
451.0599976,379.0434265
451.9599915,415.9384155
453.0299988,433.8891983
453.9299927,449.9988556
455,487.766037
456.0599976,527.3492813
456.9599915,546.6939163
458.0299988,579.7054672
458.9299927,651.1695862
460,719.7644806
461.0599976,804.1007992
461.9599915,909.3943784
463.0299988,1005.14595
463.9299927,1093.030701
465,1269.776764
466.0599976,1385.23941
466.9599915,1577.339325
468.0299988,1776.127472
468.9299927,1934.012909
470,2152.636108
471.0599976,2413.700409
471.9599915,2672.080994
473.0299988,2970.817566
473.9299927,3195.611267
475,3550.774231
476.0599976,3915.289612
476.9599915,4357.883911
478.0299988,4686.367493
478.9299927,5111.808166
480,5617.849731
481.0400085,6101.286621
481.9400024,6559.500733
482.980011,7120.907593
484.019989,7722.740478
485.0700073,8440.133056
485.9700012,8994.945072
487.0100098,9691.411136
488.0499878,10327.12036
488.9500122,11065.64819
490,11929.46411
491.0599976,12809.4165
491.9599915,13496.66382
493.0299988,14299.0393
493.9299927,15028.41675
495,16066.71265
496.0599976,17036.71509
496.9599915,17902.44629
498.0299988,18846.62475
498.9299927,19805.49682
500,20616.45996
501.0400085,21862.74902
501.9400024,22692.06299
502.980011,23845.16846
504.019989,24922.31934
505.0700073,25829.31641
505.9700012,26972.60742
507.0100098,28059.76074
508.0499878,29177.17285
508.9500122,30132.02149
510,31401.54053
511.0400085,32441.23291
511.9400024,33375.52734
512.9799805,34736.94336
514.0200195,35678.15674
515.0700073,36633.09326
515.9699707,37710.26123
517.0100098,38769.36767
518.0499878,39711.88477
518.9500122,40771.20362
520,41777.27539
521.039978,42579.07226
521.9400024,43482.11426
522.9799805,44622.08496
524.0200195,45342.2705
525.0700073,46054.01855
525.9699707,46972.1582
527.0100098,47534.23828
528.0499878,48431.65039
528.9500122,49091.28906
530,49919.4043
531.039978,50295.61035
531.9400024,51280.9375
532.9799805,51473.98438
534.0200195,52254.96582
535.0700073,52698.95019
535.9699707,53198.37402
537.0100098,53678.56934
538.0499878,54243.68652
538.9500122,54106.94336
540,54658.40332
541.039978,54935.96191
541.9400024,55194.41894
542.9799805,55256.38672
544.0200195,55388.73535
545.0700073,55470.83984
545.9699707,55839.7168
547.0100098,55939.38477
548.0499878,56089.32617
548.9500122,55826.45508
550,55686.63574
551.0200195,55585.68359
552.0499878,55404.52149
552.9400024,55677.69531
553.9699707,55393.07617
555,55359.81446
556.0200195,54876.2793
557.0499878,54780.52734
557.9400024,54545.74218
558.9699707,54023.54492
560,53668.28125
561.0200195,53298.05176
562.0499878,53017.11426
562.9400024,52749.88282
563.9699707,52243.17383
